Instructor ID,Course Number,Pass Rate
T04,1115,0.552
T05,1115,0.506
T07,1115,0.439
T08,1115,0.597
T09,1115,0.542
T11,1115,0.477
T12,1115,0.555
T13,1115,0.624
T15,1115,0.633
T16,1115,0.564
T17,1115,0.491
T19,1115,0.550
T05,3115,0.757
T08,3115,0.724
T09,3115,0.753
T11,3115,0.931
T12,3115,0.731
T13,3115,0.865
T15,3115,0.933
T16,3115,0.771
T17,3115,0.789
T19,3115,0.957
T07,3130,0.893
T08,3130,0.816
T09,3130,0.800
T11,3130,0.765
T12,3130,0.859
T13,3130,0.909
T15,3130,0.714
T16,3130,0.780
T17,3130,0.822
T19,3130,0.800
